Pid Tid Torder Res Dcls Did Bname Time htime Correct Ans Key ec1 ec2 ec3 ec4 ec5 ec6 ec7 stereo
1 4 102 1 3 2 CG 3.05 1.18 0 0 1 85.248805 15.378211 13 0 0 0 0 2
1 4 103 3 3 1 CST 9.78 1.74 1 1 1 41.070596 17.130038 41 0 0 0 0 2
1 4 104 2 3 4 IFO 5.75 1.40 0 0 1 61.751689 29.424624 17 0 0 0 0 2
1 4 105 4 3 3 CC 16.47 1.16 0 0 1 103.200653 25.548268 11 0 0 0 0 2
1 4 106 5 3 4 IFO 4.29 0.94 0 0 1 77.992454 28.643362 15 0 0 0 0 2
1 4 107 1 3 3 CC 13.40 1.14 1 1 1 51.769582 22.274492 81 0 0 0 0 2
1 4 108 3 3 1 CST 6.54 1.30 0 0 1 78.502429 25.123905 74 0 0 0 0 2
1 4 109 2 3 2 CG 6.76 1.00 0 0 1 67.890645 12.858325 11 0 0 0 0 2
1 4 110 4 3 5 ILF 2.92 0.89 1 1 1 82.155258 33.082050 14 0 0 0 0 2
1 4 111 5 2 4 IFO 31.68 1.02 0 0 1 166.119183 29.424623 11 0 0 0 0 2
1 4 112 1 2 2 CG 11.02 1.12 0 0 1 180.325517 15.378211 55 0 0 0 0 2
1 4 113 3 2 5 ILF 9.06 1.04 0 0 1 517.047948 31.030435 40 0 0 0 0 2
1 4 114 2 2 3 CC 15.80 1.58 0 0 1 321.885778 25.548268 94 0 0 0 0 2
1 4 115 4 2 1 CST 44.90 1.42 1 1 1 144.70025 17.130037 31 0 0 0 0 2
1 4 116 5 2 2 CG 22.30 0.74 0 0 1 439.324091 12.858325 7 0 0 0 0 2
1 4 117 1 2 4 IFO 43.41 1.19 0 0 1 335.498699 28.643363 108 0 0 0 0 2
1 4 118 3 2 3 CC 9.66 1.09 0 0 1 63.470522 22.274493 45 0 0 0 0 2
1 4 119 2 2 5 ILF 9.49 0.56 0 0 1 293.580449 33.082050 88 0 0 0 0 2
1 4 120 4 2 1 CST 10.44 1.00 0 0 1 276.50924 25.123904 92 0 0 0 0 2
1 5 121 5 1 2 CG 13.01 1.25 1 1 1 7 3 0 0 0 0 0 2
