Pid Tid Torder Res Dcls Did Bname Time htime Correct Ans Key ec1 ec2 ec3 ec4 ec5
1 5 130 4 1 2 CG 4.00 1.02 1 2 2 6 3 0 0 0
1 5 131 5 3 5 ILF 4.61 0.94 1 1 1 12 6 0 0 0
1 5 132 1 3 4 IFO 19.57 0.82 1 2 2 25 12 0 0 0
1 5 133 3 3 1 CST 3.39 1.01 1 2 2 31 16 0 0 0
1 5 134 2 3 2 CG 2.11 0.88 1 2 2 14 6 0 0 0
1 5 135 4 3 3 CC 5.46 1.82 1 1 1 10 5 0 0 0
1 5 136 5 3 4 IFO 2.77 1.06 1 1 1 8 3 0 0 0
1 5 137 1 3 1 CST 7.31 1.03 1 1 1 62 31 0 0 0
1 5 138 3 3 3 CC 2.71 1.24 1 2 2 23 12 0 0 0
1 5 139 2 3 5 ILF 4.69 1.04 1 1 1 27 12 0 0 0
1 5 140 4 3 2 CG 2.43 1.13 1 2 2 5 2 0 0 0
1 5 141 5 2 1 CST 4.56 0.84 1 1 1 16 8 0 0 0
1 5 142 1 2 4 IFO 5.92 0.97 0 1 2 25 12 0 0 0
1 5 143 3 2 2 CG 2.77 0.85 1 2 2 13 6 0 0 0
1 5 144 2 2 3 CC 2.53 1.00 1 2 2 82 41 0 0 0
1 5 145 4 2 5 ILF 2.74 0.95 1 1 1 16 8 0 0 0
1 5 146 5 2 1 CST 2.43 0.93 1 1 1 17 9 0 0 0
1 5 147 1 2 2 CG 2.68 1.40 1 1 1 13 6 0 0 0
1 5 148 3 2 5 ILF 3.37 1.15 1 2 2 29 14 0 0 0
1 5 149 2 2 3 CC 3.85 0.97 1 1 1 70 35 0 0 0
1 5 150 4 2 4 IFO 7.35 0.91 0 1 2 13 5 0 0 0
1 6 151 5 1 1 CST 13.67 1.94 1 2 2 5 3 0 0 0
1 6 152 1 1 1 CST 53.48 1.55 1 2 2 1 4 0 0 0
1 6 153 3 1 3 CC 18.01 2.87 1 1 1 3 3 0 0 0
1 6 154 2 1 2 CG 34.79 2.31 0 1 2 2 1 0 0 0
1 6 155 4 1 3 CC 27.30 1.69 0 1 2 4 3 0 0 0
1 6 156 5 1 3 CC 8.26 2.04 1 2 2 5 2 0 0 0
1 6 157 1 1 2 CG 18.67 1.30 1 1 1 1 1 0 0 0
1 6 158 3 1 1 CST 24.70 2.47 1 1 1 3 3 0 0 0
1 6 159 2 1 3 CC 57.79 1.73 1 2 2 2 3 0 0 0
1 6 160 4 1 1 CST 164.55 1.93 1 1 1 4 4 0 0 0
1 6 161 5 3 3 CC 4.11 1.33 1 2 2 5 3 0 0 0
1 6 162 1 3 2 CG 16.82 1.82 1 1 1 1 1 0 0 0
1 6 163 3 3 1 CST 16.60 1.30 1 1 1 3 3 0 0 0
1 6 164 2 3 1 CST 24.82 1.75 1 2 2 2 4 0 0 0
1 6 165 4 3 3 CC 10.40 1.69 0 1 2 4 5 0 0 0
1 6 166 5 3 3 CC 18.79 0.90 0 1 2 5 4 0 0 0
1 6 167 1 3 3 CC 57.70 2.57 1 2 2 1 2 0 0 0
1 6 168 3 3 2 CG 3.23 3.23 1 2 2 3 5 0 0 0
1 6 169 2 3 1 CST 16.89 1.50 1 1 1 2 2 0 0 0
1 6 170 4 3 1 CST 16.02 1.31 1 1 1 4 4 0 0 0
1 6 171 5 2 1 CST 3.26 3.26 1 2 2 5 1 0 0 0
1 6 172 1 2 3 CC 2.81 2.81 1 2 2 1 5 0 0 0
1 6 173 3 2 2 CG 17.57 1.15 1 2 2 3 2 0 0 0
1 6 174 2 2 1 CST 21.78 1.58 0 1 2 2 3 0 0 0
1 6 175 4 2 3 CC 14.00 1.27 1 1 1 4 4 0 0 0
1 6 176 5 2 3 CC 19.75 1.25 1 2 2 5 4 0 0 0
1 6 177 1 2 1 CST 38.24 1.14 0 1 2 1 2 0 0 0
1 6 178 3 2 2 CG 9.22 1.92 1 2 2 3 4 0 0 0
1 6 179 2 2 3 CC 3.39 1.58 1 2 2 2 5 0 0 0
1 6 180 4 2 1 CST 18048.40 1.29 0 1 2 4 3 0 0 0
2 1 1 4 1 5 ILF 16.83 2.62 1 2 2 0.135138 0.382347 39 0.247209 69
2 1 2 3 1 3 CC 42.37 1.68 1 3 3 0.064932 0.337284 68 0.402217 101
2 1 3 5 1 4 IFO 11.35 1.77 1 3 3 0.130096 0.183878 24 0.313974 32
2 1 4 1 1 1 CST 12.44 1.02 0 1 3 0.023199 0.190485 189 0.213683 441
2 1 5 2 1 2 CG 19.16 0.86 0 1 2 0.022129 0.214003 41 0.191875 51
2 1 6 4 1 2 CG 16.38 1.51 1 2 2 0.043088 0.255476 47 0.212388 29
2 1 7 3 1 3 CC 12.34 1.96 1 2 2 0.169901 0.347839 66 0.177938 35
2 1 8 5 1 5 ILF 16.30 1.26 1 2 2 0.128247 0.394370 19 0.266123 31
2 1 9 1 1 1 CST 17.75 1.47 0 1 2 0.072686 0.229279 144 0.156592 50
2 1 10 2 1 4 IFO 20.05 1.81 0 1 3 0.102037 0.213807 99 0.315845 111
2 1 11 4 3 3 CC 24.63 1.81 1 3 3 0.050614 0.352564 48 0.403178 58
2 1 12 3 3 2 CG 22.42 1.22 1 2 2 0.026556 0.212540 9 0.185984 5
2 1 13 5 3 1 CST 37.40 1.12 1 3 3 0.088970 0.191645 10 0.280614 16
2 1 14 1 3 4 IFO 6.15 1.14 1 3 3 0.067913 0.204354 50 0.272267 17
2 1 15 2 3 5 ILF 7.51 1.07 1 2 2 0.186808 0.477633 25 0.290825 27
2 1 16 4 3 4 IFO 6.89 1.09 1 3 3 0.061930 0.226932 9 0.288862 11
2 1 17 3 3 1 CST 25.25 1.41 0 1 2 0.036096 0.319960 16 0.283864 13
2 1 18 5 3 5 ILF 5.52 1.94 1 2 2 0.194300 0.479859 5 0.285559 12
2 1 19 1 3 3 CC 14.71 1.62 1 2 2 0.189959 0.377030 84 0.187071 47
2 1 20 2 3 2 CG 19.43 1.38 1 2 2 0.102852 0.291262 8 0.188411 12
2 1 21 4 2 2 CG 12.66 1.04 0 1 2 0.013731 0.226572 33 0.212841 36
2 1 22 3 2 4 IFO 18.29 0.63 1 3 3 0.113814 0.205176 64 0.318990 60
2 1 23 5 2 1 CST 12.65 1.06 0 1 3 0.047421 0.212136 41 0.259557 8
2 1 24 1 2 3 CC 14.96 1.26 0 1 3 0.062630 0.323016 125 0.385646 207
2 1 25 2 2 5 ILF 8.45 0.74 1 2 2 0.129267 0.377195 103 0.247928 165
2 1 26 4 2 4 IFO 24.78 1.34 0 1 3 0.124771 0.210484 46 0.335255 47
2 1 27 3 2 3 CC 16.29 2.12 0 1 2 0.169738 0.347589 66 0.177851 35
2 1 28 5 2 1 CST 15.82 1.70 0 1 2 0.107015 0.338577 4 0.231562 13
2 1 29 1 2 2 CG 12.97 1.18 1 2 2 0.058341 0.246852 159 0.188511 115
2 1 30 2 2 5 ILF 15.94 0.93 1 2 2 0.108517 0.368321 68 0.259804 93
2 2 31 4 1 1 CST 39.69 1.35 0 1 3 13 0 0 0 0
2 2 32 3 1 3 CC 40.52 1.66 1 1 1 11 0 0 0 0
2 2 33 5 1 2 CG 9.23 1.71 1 2 2 3 0 0 0 0
2 2 34 1 1 4 IFO 46.49 1.77 0 2 3 24 0 0 0 0
2 2 35 2 1 5 ILF 14.31 0.89 1 2 2 15 0 0 0 0
2 2 36 4 1 1 CST 38.65 1.39 1 3 3 14 0 0 0 0
2 2 37 3 1 3 CC 16.10 1.51 1 1 1 15 0 0 0 0
2 2 38 5 1 5 ILF 47.57 1.10 0 2 3 9 0 0 0 0
2 2 39 1 1 2 CG 19.26 1.29 1 1 1 12 0 0 0 0
2 2 40 2 1 4 IFO 41.68 1.40 1 2 2 11 0 0 0 0
2 2 41 4 3 4 IFO 11.87 1.64 1 2 2 12 0 0 0 0
2 2 42 3 3 5 ILF 13.74 0.87 1 3 3 18 0 0 0 0
2 2 43 5 3 1 CST 4.70 0.82 1 2 2 9 0 0 0 0
2 2 44 1 3 2 CG 7.04 1.27 1 1 1 11 0 0 0 0
2 2 45 2 3 3 CC 29.83 0.86 1 2 2 13 0 0 0 0
2 2 46 4 3 4 IFO 6.64 1.33 0 3 2 5 0 0 0 0
2 2 47 3 3 2 CG 5.54 1.12 1 2 2 5 0 0 0 0
2 2 48 5 3 5 ILF 45.49 0.90 1 3 3 9 0 0 0 0
2 2 49 1 3 3 CC 9.41 1.81 1 3 3 30 0 0 0 0
2 2 50 2 3 1 CST 8.34 0.92 1 2 2 40 0 0 0 0
2 2 51 4 2 5 ILF 7.83 1.12 0 1 2 9 0 0 0 0
2 2 52 3 2 2 CG 6.29 1.26 1 2 2 8 0 0 0 0
2 2 53 5 2 4 IFO 17.33 1.38 1 3 3 7 0 0 0 0
2 2 54 1 2 3 CC 10.58 1.30 1 3 3 22 0 0 0 0
2 2 55 2 2 1 CST 41.21 1.78 1 2 2 44 0 0 0 0
2 2 56 4 2 2 CG 4.07 1.40 1 1 1 5 0 0 0 0
2 2 57 3 2 4 IFO 24.49 0.98 1 3 3 6 0 0 0 0
2 2 58 5 2 3 CC 8.93 0.62 1 1 1 10 0 0 0 0
2 2 59 1 2 1 CST 33.14 1.49 0 1 2 62 0 0 0 0
2 2 60 2 2 5 ILF 21.89 2.81 1 2 2 18 0 0 0 0
2 3 61 4 1 3 CC 16.10 1.36 1 3 3 29 0 0 0 0
2 3 62 3 1 4 IFO 34.02 4.09 1 4 4 19 0 0 0 0
2 3 63 5 1 2 CG 6.25 1.35 1 2 2 5 0 0 0 0
2 3 64 1 1 1 CST 6.44 2.38 1 1 1 236 0 0 0 0
